hhid,quarter,cluster,personid,s1aq1,s1aq2,s1aq4y,s1aq6,s1aq7,s1aq9a,s1bq1,s2aq1,s2aq3,s2aq4,s2aq5,s2aq12,s2aq13,s3aq1,s3aq5,s3aq22a,s3aq23,s3bq1,s3bq2,s3bq3,s3bq4,s3cq6,s4aq1,region,BMI,pop_weight,hh_weight,econact,urbrur,Edu_Expensis,Training,Disability,Side_Earnings,Secured_Job,Unemployment,Health_issues,Health_hazards,Psychological_trauma,preventive_measures,Good_Health_practice,Health_control,Lterm_percept,Total_Income
112708,1,127,5,2,3,10,2,1,1,1,2,3,4,1,1,9,1,2,2,10,1,1,23.85000038,138,1,2,3,12.52363014,1670.906006,2083.513184,3,1,3940,0,1,0,2,0,0,0,0,0,0,0,0,662.15
103613,1,36,3,2,3,7,2,1,1,1,2,3,1,1,3,9,1,2, ,10,4, ,19,123,1,2,1,12.55866241,444.8033142,738.8737183,3,2,258,0,1,0,2,0,0,0,0,0,0,0,0,50
105907,1,59,3,2,3,8,3,1,3,2,2,3,1,1,4,9,2,2, ,10,4, ,22.35000038,133,1,2,2,12.63497066,813.4299927,1054.700806,3,1,196,0,1,0,2,0,0,0,0,0,0,0,0,343.2989691
115714,1,157,3,1,3,5,4,1,3,1,2,3,3,1,3,9,1,2,2,10,1,1,20.39999962,127,1,2,4,12.64802551,729.5189209,697.0588379,3,1,840,0,1,0,2,0,0,0,0,0,0,0,0,1623.53
117406,1,174,5,1,3,5,3,1,3,1,2,2,0,1,1,9,2,2, ,10,1,2,14.39999962,106.5,1,2,4,12.69589329,569.2745972,642.8240967,3,2,90,0,1,0,2,0,0,0,0,0,0,0,0,223.3978495
104715,1,47,3,2,3,9,1,1,1,1,2,3,1,1,2,9,2,1, ,84,1,1,22.10000038,131.8999939,1,2,2,12.70289612,1343.759766,1054.700806,3,1,256,0,1,0,2,0,0,0,0,0,0,0,0,1424.193548
107501,1,75,9,2,14,6,2,1,1,1,2,2,1,1,4,9,2,1,2,84,1,1,16.10000038,112.5,1,2,2,12.72098827,599.0063477,868.9393921,3,2,102,0,1,0,2,0,0,0,0,0,0,0,0,870.8
106214,1,62,6,1,8,7,3,1,1,1,2,3,1,1,4,9,1,2,2,10,1,1,19.04999924,122.3000031,1,2,2,12.73626328,1234.554077,1054.700806,3,1,770,0,1,0,2,0,0,0,0,0,0,0,0,165.46
104715,1,47,4,2,3,12,1,1,1,1,2,3,4,1,2,9,2,2, ,84,1,1,25,140,1,2,2,12.75510216,1343.759766,1054.700806,3,1,210,0,1,0,2,0,0,0,0,0,0,0,0,1383.870968
119214,1,192,4,1,8,9,3,1,1,1,2,3,3,1,1,9,1,2,2,10,1,2,23,134,1,2,5,12.80908871,950.6213989,1250.267334,1,1,951,0,2,1,2,0,0,0,0,0,0,0,0,28
104713,1,47,3,2,3,5,2,1,1,2,2,3,0,1,3,9,1,2, ,10,1,1,17.60000038,117,1,2,2,12.8570385,1343.759766,1054.700806,3,1,1180,0,1,0,2,0,0,0,0,0,0,0,0,1464.516129
119210,1,192,4,2,3,7,3,1,1,1,2,3,1,1,1,9,1,2,2,10,1,1,21.60000038,129.6000061,1,2,5,12.86008167,950.6213989,1250.267334,3,1,725,0,1,0,2,0,0,0,0,0,0,0,0,12
105620,1,56,3,2,3,7,1,1,3,2,2,2,2,1,1,9,1,1,2,10,1,1,16.89999962,114.5999985,1,2,2,12.86818981,749.3407593,1054.700806,3,1,992,0,1,0,2,0,0,0,0,0,0,0,0,325.71
116602,1,166,3,2,3,5,3,1,3,1,2,3,2,1,1,9,2,2, ,10,1,2,15.88000011,110.8000031,1,2,4,12.93513489,541.2668457,642.8240967,3,2,781.5,0,1,0,2,0,0,0,0,0,0,0,0,433.6
106917,1,69,6,2,8,6,3,1,1,1,2,3,2,1,4,9,2,2, ,10,4, ,15.80000019,110.5,1,2,2,12.93994808,622.4144287,868.9393921,3,2,19,0,1,0,2,0,0,0,0,0,0,0,0,278.5714286
114905,1,149,8,2,3,3,2,1,3,1,2,3,1,1,3,9,1,2,2,10,1,1,14,104, , ,4,12.94378662,599.0904541,697.0588379, ,1,810,0,2,0,2,0,0,0,0,0,0,0,0,434.6551724
109701,1,97,5,2,8,6,3,1,2,2,2,2,1,1,4,9,2,2, ,10,1,2,19,121,1,2,3,12.97725582,1319.963013,2083.513184,3,1,600,0,1,0,2,0,0,0,0,0,0,0,0,710
108204,1,82,5,1,3,9,3,1,1,1,2,3,2,1,2,9,2,2, ,10,1,1,24.27000046,136.6999969,1,2,2,12.98771572,671.2452393,868.9393921,3,2,125,0,1,0,2,0,0,0,0,0,0,0,0,59.04761905
118617,1,186,2,1,3,6,3,1,1,2,2,3,2,1,3,9,1,2,2,10,1,1,17.5,116,1,2,5,13.00535107,836.0498047,1180.808105,3,1,2120,0,1,0,2,0,0,0,0,0,0,0,0,519.62
106511,1,65,4,1,3,4,3,1,1,2,2,2,2,1,1,9,1,2,2,10,1,2,14.94999981,107.1999969, , ,2,13.00923157,928.2669678,1054.700806, ,1,1190,0,2,0,2,0,0,0,0,0,0,0,0,1494.339623
115002,1,150,3,1,3,11,1,1,3,1,2,3,4,1,2,9,2,2, ,10,1,2,25.29999924,139.3999939,1,2,4,13.01952076,796.5101318,697.0588379,3,1,270,0,1,0,2,0,0,0,0,0,0,0,0,350.2586207
107708,1,77,4,2,3,16,3,1,1,2,2,4,2,1,1,9,1,2,2,10,1,1,29.29999924,150,1,2,2,13.02222157,677.0314331,868.9393921,3,2,1100,0,1,0,2,0,0,0,0,0,0,0,0,1180.53
110117,1,101,3,2,3,3,3,1,1,1,2,2,0,1,1,9,1,2,2,10,4, ,14.10000038,104, , ,3,13.03624249,1728.618042,2083.513184, ,1,2600,0,2,0,2,0,0,0,0,0,0,0,0,306.7961165
103910,1,39,9,2,3,1,3,1,1,1,2,1,0,1,3,9,3,1,2,10,4, ,8.350000381,80, , ,1,13.04687595,509.4069824,738.8737183, ,2,600,0,2,0,2,0,0,0,0,0,0,0,0,815.1898734
105215,1,52,2,2,3,3,3,1,1,2,2,2,0,1,3,9,2,1, ,84,1,1,12.14999962,96.34999847, , ,2,13.08798695,698.4108887,1054.700806, ,1,616,0,2,0,2,0,0,0,0,0,0,0,0,1475
117017,1,170,4,2,3,6,7,1,3,1,2,3,1,1,3,9,2,2, ,10,4, ,19.5,122,1,2,4,13.10131645,520.3681641,642.8240967,3,2,412,0,1,0,2,0,0,0,0,0,0,0,0,359.9139785
118104,1,181,2,1,3,8,3,1,3,1,2,3,1,1,1,9,2,2, ,10,1,2,28.35000038,147,1,2,4,13.11953354,247.3397675,642.8240967,3,2,130,0,1,0,2,0,0,0,0,0,0,0,0,55.76923077
107501,1,75,8,2,14,11,2,1,1,1,2,3,2,1,4,9,2,1,2,84,1,1,20.5,125,1,2,2,13.11999989,599.0063477,868.9393921,3,2,151,0,1,0,2,0,0,0,0,0,0,0,0,858.41
116617,1,166,5,1,8,5,6,4, ,2,2,2,1,1,1,9,2,1, ,10,1,1,15.88000011,110,1,2,4,13.12396717,541.2668457,642.8240967,3,2,220,0,1,0,2,0,0,0,0,0,0,0,0,489.3333333
118819,1,188,4,1,3,5,3,1,3,1,2,2,1,1,3,9,2,1,2,10,1,1,19.70000076,122.5,1,2,5,13.12786388,1089.368408,1180.808105,3,1,1175,0,2,0,2,0,0,0,0,0,0,0,0,600
114702,1,147,9,2,3,8,1,1,3,1,2,3,1,1,1,9,2,2, ,10,1,1,20.45000076,124.8000031,1,2,4,13.12998199,420.8407288,697.0588379,3,1,30,0,1,0,2,0,0,0,0,0,0,0,0,15
109312,1,93,7,1,3,3,3,1,2,1,2,2,1,1,1,9,1,1,2,10,1,1,13.94999981,103, , ,3,13.14921284,1581.828003,2083.513184, ,1,1990,0,2,0,2,0,0,0,0,0,0,0,0,2949.294118
109913,1,99,6,1,3,3,3,1,2,1,2,1,1,1,3,9,1,2,2,10,1,1,17.39999962,115, , ,3,13.15689945,1922.302368,2083.513184, ,1,2000,0,2,0,2,0,0,0,0,0,0,0,0,300
118610,1,186,3,1,3,5,2,1,1,1,2,3,1,1,3,9,2,1, ,10,1,1,18.29999924,117.9000015,1,2,5,13.16507816,836.0498047,1180.808105,3,1,620,0,1,0,2,0,0,0,0,0,0,0,0,435.8653846
119416,1,194,4,1,14,9,2,1,1,1,2,3,2,1,5,9,1,2,2,10,1,1,25.5,139,1,2,5,13.19807434,1258.512207,1180.808105,3,1,800,0,1,0,2,0,0,0,0,0,0,0,1,1788.89
109009,1,90,3,2,3,4,3,1,1,2,2,2,1,1,1,9,1,2,2,10,1,2,15.10000038,106.9000015, , ,3,13.2136116,1660.926392,2206.072754, ,1,1190,0,2,0,2,0,0,0,0,0,0,0,0,144.1176471
114109,1,141,4,2,3,4,3,1,3,1,2,2,1,1,1,9,1,2, ,10,1,2,15.69999981,109, , ,3,13.2143755,391.4032898,526.6025391, ,2,430,0,2,0,2,0,0,0,0,0,0,0,0,864.7058824
111221,1,112,5,1,3,7,3,1,2,2,2,3,1,1,1,9,1,2,2,10,1,2,20.70000076,125.0999985,1,2,3,13.22682953,1540.083252,2083.513184,3,1,1460,0,1,0,2,0,0,0,0,0,0,0,0,800
